HTTPCLIENT-569,1,methodnam should synchron
HTTPCLIENT-386,1,catch sockettimeoutexcept not interruptedioexcept
HTTPCLIENT-302,1,except dure writerequest leav connect unreleas
HTTPCLIENT-104,0,incorrect debug messag httpmethodbas
HTTPCLIENT-85,1,host request header doe not contain port
HTTPCLIENT-196,1,httpclient fail reconnect after keepal connect time out
HTTPCLIENT-697,0,http client give sme messag proxyhttp endpoint down
HTTPCLIENT-477,0,there no way specifi differ auth scheme prioriti host and proxi
HTTPCLIENT-1054,0,httpclient per default relentlessli spam stderr
HTTPCLIENT-1030,0,implement ignorecooki cookiespec
HTTPCLIENT-553,0,javadoc getconnect method connect manag
HTTPCLIENT-30,0,should allow receiv secur cooki nonsecur chanel
HTTPCLIENT-452,1,methodnam use default timezon instead gmt
HTTPCLIENT-824,0,review use baischttpparam and httpprotocolprocessor httpclient
HTTPCLIENT-286,1,manual set cooki author header get discard
HTTPCLIENT-323,0,methodnam methodnam could return contentlength
HTTPCLIENT-960,1,httpmultipart doesnt gener contenttyp part header mode browsercompat
HTTPCLIENT-813,1,httpclient throw npe invalid port use multithreadedhttpconnectionmanag
HTTPCLIENT-71,0,add support digest authent authent class
HTTPCLIENT-530,1,findbug report and fix
HTTPCLIENT-317,0,http client doesnt support multipartrel contenttyp
HTTPCLIENT-852,1,circularredirectexcept encount use proxi but not reach target directli
HTTPCLIENT-667,0,provid bestmatch cooki polici
HTTPCLIENT-501,1,minor rfc 2109 2965 violat
HTTPCLIENT-609,0,use trace log instead debug absolut nittygritti
HTTPCLIENT-926,0,add amazon S3 authent support
HTTPCLIENT-46,0,plugin authent modul
HTTPCLIENT-1027,0,some typo english manual
HTTPCLIENT-965,1,cach doe not honor mustrevalid proxyrevalid cachecontrol direct
HTTPCLIENT-404,1,sotimeout paramet method level ha no effect
HTTPCLIENT-384,0,30 not compiletim compat 20 librari usag
HTTPCLIENT-972,0,cach modul should use httpparamsstyl configur
HTTPCLIENT-1026,0,properli close resourc
HTTPCLIENT-165,1,100continu respons time out unexpectedli
HTTPCLIENT-440,1,except httpconnect becaus uncheck buffer size
HTTPCLIENT-510,0,userdefin protocolsocketfactori secur connect through proxi
HTTPCLIENT-985,1,cach modul should popul via header captur upstream and downstream protocol
HTTPCLIENT-1034,0,add link benchmark httpclient cach modul articl comcast interact media
HTTPCLIENT-163,1,httpclient doe not compil out box ibm visualag ide
HTTPCLIENT-574,0,subclass do not have write access statuslin
HTTPCLIENT-705,1,handl uri path compon null
HTTPCLIENT-738,0,hostnameverifi shouldnt shadow simpl name implement interfac
HTTPCLIENT-99,1,request retri 3 time unconditionali
HTTPCLIENT-1142,1,infinit loop ntlm authent
HTTPCLIENT-1097,0,browsercompathostnameverifi and stricthostnameverifi should handl wildcard ssl certif better
HTTPCLIENT-552,0,add shutdown method simplehttpconnectionmanag
HTTPCLIENT-758,0,wrong method signatur abstracthttpcli
HTTPCLIENT-26,0,need way set request bodi postmethod
HTTPCLIENT-1100,1,miss contentlength header make cach entri invalid
HTTPCLIENT-675,1,thread starv multithreadedhttpconnectionmanag
HTTPCLIENT-614,0,allow differ strategi check CN x509 cert
HTTPCLIENT-713,0,remov routedrequest clientrequestdirector interfac
HTTPCLIENT-298,0,javadoc often ha < code > without < code >
HTTPCLIENT-494,0,invalid redirect not correct
HTTPCLIENT-806,1,connectexcept not handl defaulthttpmethodretryhandl
HTTPCLIENT-1177,1,httpclient treat uri fragment redirect uri incosist
HTTPCLIENT-506,1,digest auth use wrong uri proxi authent
HTTPCLIENT-1182,0,add constructor classnam allow directli wrap classnam socketfactori
HTTPCLIENT-444,1,preemptiv authent caus ntlm auth scheme fail
HTTPCLIENT-657,0,testbasiccookieattribhandl fail nonenglish local system
HTTPCLIENT-41,0,new method add array paramet postmethod
HTTPCLIENT-1057,0,wrong class name statemgmtxml
HTTPCLIENT-998,0,cach should use both lastmodifi and etag valid avail
HTTPCLIENT-869,0,incorrectincomplet product name metainfnotic file
HTTPCLIENT-772,0,typo rfc refer web site
HTTPCLIENT-526,0,warn invalid setcooki header
HTTPCLIENT-342,0,api doc improv descript preemptiv authent
HTTPCLIENT-261,1,infinit loop 302 redirect differ host locat header
HTTPCLIENT-1066,0,httpclient 41 auto slash remov
HTTPCLIENT-769,1,classnam connect alreadi open
HTTPCLIENT-1016,0,ad custom locat header extractor method redirectstrategi
HTTPCLIENT-689,0,stackabl paramet
HTTPCLIENT-903,0,use concurrenthashmap instead hashmap wherev threadsaf access need
HTTPCLIENT-711,1,bad rout comput redirect request
HTTPCLIENT-659,0,dateutil should cach simpledateformat
HTTPCLIENT-944,1,In case sockettimeoutexcept and use httprequestretryhandl execut alway +1
HTTPCLIENT-1158,0,chang error messag except uriutilsrewriteuri
HTTPCLIENT-227,1,miss contentlength header caus socketexcept
HTTPCLIENT-729,0,move httprout and relat class separ packag
HTTPCLIENT-914,0,use apach codec 14
